registro,codmes,customer_id,segmento,plazo,coddiv,importe,di,tasa,spread,personal_type,personal_id,plazo_dias,flag_vta,cutoff_date,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6,variable_7,variable_8,variable_9,variable_10,variable_11,variable_12,variable_13,variable_14,variable_15,variable_16,variable_17,variable_18,variable_19,variable_20,variable_21,variable_22
DPPN-4416784,202302,0,RETAIL,3 meses,PEN,463000,2.3686,0.07,0.0011,7,85001,360,1,29/02/2024,0.920265901,0.755364598,0.92333232,0.956535643,,0.20186109,0.293467226,0.24272556,0.792922108,0.401521075,0.486532865,0.692740569,0.549018439,A,F,C,F,A,I,Q,G,Y
DPPN-4527481,202306,0,PRIME,3 meses,PEN,472000,2.4262,0.086,0.0074,7,85435,360,0,28/02/2025,0.868519519,0.65578806,0.041500558,,,0.036038891,0.178856641,0.850031206,0.804107205,0.602601491,0.212183589,0.439214555,0.081413353,B,F,C,I,B,T,Q,J,V
DPPN-173399,202505,0,PRIME,3 meses,PEN,118000,0.1606,0.074,0.0074,7,90312,360,0,28/02/2025,0.194713531,,,,,0.516824619,0.252239504,0.047538787,0.603865257,0.140284485,0.065498063,0.914395854,0.085854937,B,D,D,A,A,G,O,J,F
DPPN-4158491,202405,0,PRIME,3 meses,PEN,442000,2.2342,0.054,0.0074,7,90667,360,0,28/02/2025,0.472878945,0.686586195,0.955523979,0.68357519,,0.650463651,0.061842262,0.637898134,0.61898375,0.355744208,0.106722116,0.285046497,0.352436645,B,A,E,F,E,K,R,A,P
DPPN-726884,202305,0,RETAIL,3 meses,PEN,163000,0.4486,0.03,0.0011,7,90902,360,0,29/02/2024,0.374727351,0.734655897,0.298941478,,,0.780673248,0.178207881,0.961936433,0.412167064,0.818791067,0.857974781,0.386209236,0.030201078,A,D,F,G,D,N,H,F,A
DPPN-3051521,202409,0,PRIME,3 meses,PEN,352000,1.6582,0.075,0.0074,7,91356,360,0,28/02/2025,0.235604497,0.217705654,0.145643212,,,0.021891794,0.528384013,0.344293407,0.935287609,0.465743033,0.87520212,0.385610651,0.266750542,A,F,F,F,C,G,S,L,P
DPPN-2608733,202408,0,PRIME,3 meses,PEN,316000,1.4278,0.027,0.0074,7,93429,360,1,28/02/2025,0.523310687,0.799598297,0.18886105,0.486748102,,0.674480045,0.844301149,0.463426251,0.789645272,0.666803264,0.739227773,0.50730686,0.531579718,C,F,F,H,D,G,D,B,A
DPPN-4047794,202506,0,RETAIL,3 meses,PEN,433000,2.1766,0.086,0.0011,7,94448,360,1,29/02/2024,0.319983656,0.970981152,,,0.981727216,0.990449142,0.870402435,0.261994345,0.450383223,0.058396593,0.624129886,0.930186507,0.061221911,C,B,G,E,D,K,J,B,L
DPPN-3162218,202304,0,RETAIL,3 meses,PEN,361000,1.7158,0.076,0.0011,7,94716,360,0,29/02/2024,0.081575859,0.702522355,0.275278407,,,0.823361984,0.732952049,0.221779725,0.139243568,0.121956864,0.892672992,0.452249058,0.073427445,A,C,H,K,A,P,H,J,D
DPPN-1169672,202303,0,RETAIL,3 meses,PEN,199000,0.679,0.027,0.0011,7,95899,360,1,29/02/2024,0.297285662,0.701960803,0.846151831,0.810430892,,0.239085803,0.645260998,0.036959237,0.400377733,0.222655704,0.721309255,0.556420428,0.246452039,A,E,F,J,B,G,B,E,E
DPPN-4822673,202306,0,PRIME,3 meses,PEN,496000,2.5798,0.031,0.0074,7,96718,360,0,28/02/2025,0.836168039,,0.707632029,0.470577886,0.923175638,0.632034753,0.957603113,0.338062822,0.419641103,0.23661098,0.071675596,0.864700207,0.155973154,B,C,G,G,A,K,H,B,J
DPPN-4379885,202301,0,PRIME,3 meses,PEN,460000,2.3494,0.079,0.0074,7,96962,360,1,28/02/2025,0.803853054,,0.103593401,,,0.77402579,0.693270107,0.240138556,0.823217537,0.282727002,0.510524568,0.029575829,0.810938416,D,D,H,L,A,M,B,G,X
DPPN-616187,202503,0,PRIME,3 meses,PEN,154000,0.391,0.059,0.0074,7,97288,360,0,28/02/2025,0.368675042,,,0.376608995,,0.441696726,0.655026239,0.262073528,0.101234933,0.40163235,0.476280861,0.97247451,0.455040044,D,B,A,C,E,C,O,F,M
DPPN-11096,202307,0,RETAIL,3 meses,PEN,103000,0.0646,0.057,0.0011,7,97351,360,0,29/02/2024,0.806891878,0.969175634,,0.793860598,,0.174866064,0.285799747,0.388138376,0.822651425,0.626904628,0.669964272,0.432453477,0.96513613,C,F,B,C,B,S,R,A,L
DPPN-4638178,202304,0,RETAIL,3 meses,PEN,481000,2.4838,0.027,0.0011,7,97894,360,1,29/02/2024,0.130892441,,0.597272515,,,0.727062908,0.207114018,0.613044479,0.126932724,0.042019139,0.966764552,0.88194247,0.649488696,B,F,D,H,A,I,C,E,W
DPPN-579288,202511,0,RETAIL,3 meses,PEN,151000,0.3718,0.045,0.0011,7,98423,360,1,29/02/2024,0.103443699,,,,,0.692452093,0.778941241,0.34258117,0.049152073,0.39512644,0.63121286,0.6766797,0.225822017,A,E,H,C,D,K,O,H,B
DPPN-4010895,202402,0,PRIME,3 meses,PEN,430000,2.1574,0.083,0.0074,7,857,360,0,28/02/2025,0.546538186,,0.37458485,,0.752675188,0.379504452,0.803973617,0.222698702,0.846411492,0.306608454,0.587827242,0.423577208,0.56697432,B,F,C,C,A,D,E,L,L
DPPN-25803,202304,0,PRIME,3 meses,PEN,106000,0.0838,0.076,0.0074,7,1281,360,0,28/02/2025,0.2272719,0.432967625,0.642657195,0.22501293,,0.040963428,0.154136708,0.059473046,0.14516558,0.533773475,0.791162468,0.202211782,0.326751305,D,B,A,J,B,Q,Q,I,D
DPPN-4711976,202502,0,RETAIL,3 meses,PEN,487000,2.5222,0.068,0.0011,7,1964,360,1,29/02/2024,0.051433124,0.461665988,,,,0.766221533,0.817788148,0.010770192,0.369646294,0.933878317,0.014127675,0.134836144,0.883136945,C,B,F,J,B,N,A,A,I
DPPN-689985,202401,0,PRIME,3 meses,PEN,160000,0.4294,0.038,0.0074,7,2412,360,1,28/02/2025,0.028662185,,0.620273833,,,0.529497535,0.826845287,0.878911579,0.717378226,0.030219195,0.866148606,0.250130574,0.783681797,D,C,F,C,D,A,S,C,H
DPPN-2276642,202303,0,RETAIL,3 meses,PEN,289000,1.255,0.058,0.0011,7,2628,360,1,29/02/2024,0.424811441,0.499924152,0.049510994,0.395743027,,0.959879288,0.597628365,0.301873701,0.685873947,0.130198117,0.57652861,0.959284465,0.342503173,D,F,F,H,C,T,A,J,I
DPPN-1132773,202402,0,PRIME,3 meses,PEN,196000,0.6598,0.046,0.0074,7,2701,360,1,28/02/2025,0.806129701,0.506213007,,,,0.942812528,0.510092975,0.717757143,0.629965942,0.96490694,0.520876233,0.682032969,0.859624059,A,F,A,G,D,M,L,O,S
DPPN-2350440,202302,0,RETAIL,3 meses,PEN,295000,1.2934,0.059,0.0011,7,3865,360,1,29/02/2024,0.780048871,0.595013387,,0.68449661,,0.939812869,0.269522835,0.120670287,0.197747247,0.904063587,0.898972286,0.485482368,0.958757232,D,B,A,D,A,A,L,N,H
DPPN-2165945,202409,0,PRIME,3 meses,PEN,280000,1.1974,0.06,0.0074,7,4451,360,0,28/02/2025,0.730059868,,,0.239654814,,0.075335819,0.306210116,0.04294164,0.86517396,0.812899509,0.523145585,0.328281496,0.348623936,D,F,H,A,E,D,D,M,K
DPPN-2645632,202303,0,RETAIL,3 meses,PEN,319000,1.447,0.041,0.0011,7,4789,360,1,29/02/2024,0.46704211,0.025033031,,,,0.043525563,0.973419213,0.929491057,0.852532578,0.029467279,0.72987105,0.795506735,0.248426817,A,F,D,I,A,J,G,F,E
DPPN-2534935,202408,0,PRIME,3 meses,PEN,310000,1.3894,0.061,0.0074,7,5281,360,1,28/02/2025,0.669208985,0.208664268,0.089602861,,0.262622244,0.784444471,0.333240882,0.85520394,0.423966985,0.075427191,0.628031087,0.626555245,0.572541402,D,E,E,L,B,S,A,A,O
DPPN-3678804,202507,0,RETAIL,3 meses,PEN,403000,1.9846,0.038,0.0011,7,6116,360,0,29/02/2024,0.988383833,0.262995956,,0.583640101,0.587885654,0.125508685,0.675844934,0.51370532,0.472581721,0.423509713,0.831715796,0.818676627,0.304617258,C,A,H,A,C,D,S,E,O
DPPN-948278,202312,0,RETAIL,3 meses,PEN,181000,0.5638,0.047,0.0011,7,6610,360,1,29/02/2024,0.922412824,0.651503444,,0.029802859,,0.477001539,0.316749767,0.742379007,0.051025447,0.59570046,0.524111256,0.642243475,0.155842381,C,F,A,J,C,U,P,L,R
DPPN-4748875,202301,0,PRIME,3 meses,PEN,490000,2.5414,0.032,0.0074,7,8184,360,0,28/02/2025,0.627991442,0.351198456,0.183393267,0.404447987,,0.01946991,0.117591983,0.843348298,0.786385507,0.091710652,0.201856972,0.167834957,0.455989542,C,C,H,K,B,T,L,L,P
DPPN-2977723,202308,0,PRIME,3 meses,PEN,346000,1.6198,0.047,0.0074,7,8313,360,1,28/02/2025,0.642409041,0.96100408,,,,0.147580714,0.707497981,0.167497106,0.168160041,0.853462416,0.269950188,0.613211721,0.464793563,D,D,F,L,B,H,K,L,R
DPPN-1464864,202412,0,RETAIL,3 meses,PEN,223000,0.8326,0.056,0.0011,7,8745,360,1,29/02/2024,0.531754227,0.966000405,0.982764385,,,0.304630862,0.133992539,0.643129406,0.257515958,0.12275952,0.85120116,0.855587706,0.537231951,B,B,A,E,B,H,A,N,I
DPPN-3272915,202305,0,PRIME,3 meses,PEN,370000,1.7734,0.066,0.0074,7,8830,360,1,28/02/2025,0.277954853,0.621977484,0.756574107,0.196889077,0.947845211,0.017083203,0.302788639,0.092653047,0.828168187,0.321830509,0.316920542,0.144753329,0.995328723,C,E,C,E,D,F,H,A,Z
DPPN-1907652,202504,0,RETAIL,3 meses,PEN,259000,1.063,0.032,0.0011,7,9785,360,1,29/02/2024,0.304201599,0.024978695,,,0.343702723,0.992660076,0.722857453,0.806942141,0.474538441,0.075387181,0.571648789,0.348348535,0.605171603,A,E,G,D,D,G,Q,K,W
DPPN-2387339,202403,0,PRIME,3 meses,PEN,298000,1.3126,0.057,0.0074,7,11048,360,1,28/02/2025,0.668057,,,0.764930455,,0.17238854,0.611727884,0.354254309,0.128967524,0.37056162,0.493915395,0.277362627,0.651385713,C,D,G,A,E,D,K,M,T
DPPN-4084693,202506,0,PRIME,3 meses,PEN,436000,2.1958,0.087,0.0074,7,11843,360,0,28/02/2025,0.077723721,0.402427394,,0.506823162,0.463738122,0.472066948,0.324575428,0.915358826,0.455383473,0.929510435,0.01790657,0.454606585,0.661650018,D,A,G,L,E,I,J,J,V
DPPN-1833854,202403,0,RETAIL,3 meses,PEN,253000,1.0246,0.03,0.0011,7,11999,360,0,29/02/2024,0.535401537,0.003444352,0.693745215,0.849316725,,0.731721538,0.088321977,0.474240795,0.939652213,0.578579788,0.401384577,0.939984212,0.580559825,B,A,D,I,B,O,P,I,T
DPPN-1280369,202411,0,PRIME,3 meses,PEN,208000,0.7366,0.078,0.0074,7,14101,360,1,28/02/2025,0.013296882,,,,,0.08858372,0.770596809,0.64715021,0.653762463,0.57946973,0.676704988,0.107467239,0.766298182,D,F,A,C,E,U,L,M,S
DPPN-1981450,202502,0,RETAIL,3 meses,PEN,265000,1.1014,0.088,0.0011,7,14733,360,0,29/02/2024,0.323106547,0.035614423,,0.736854909,,0.633310563,0.905856305,0.747672476,0.906334798,0.177958557,0.304366547,0.68349931,0.483596965,C,A,H,K,C,B,R,O,H
DPPN-4859572,202512,0,RETAIL,3 meses,PEN,499000,2.599,0.07,0.0011,7,15025,360,0,29/02/2024,0.11272133,0.562743228,0.798594592,,,0.816932228,0.583818733,0.726720352,0.880172328,0.506084598,0.020542558,0.837369052,0.288619348,B,E,H,J,D,M,K,C,I
DPPN-653086,202502,0,RETAIL,3 meses,PEN,157000,0.4102,0.042,0.0011,7,16195,360,0,29/02/2024,0.352124515,0.092256759,0.288467092,0.936614274,,0.67840228,0.249965623,0.54273146,0.397102931,0.832930639,0.67719105,0.520687656,0.903899252,B,F,D,C,B,H,J,F,L
DPPN-4269188,202310,0,RETAIL,3 meses,PEN,451000,2.2918,0.089,0.0011,7,17948,360,0,29/02/2024,0.216262261,0.28399908,,0.212012213,,0.444073035,0.660937475,0.879311493,0.153880958,0.506013442,0.567031373,0.863132376,0.434654605,C,F,A,I,E,E,B,N,D
DPPN-3937097,202308,0,PRIME,3 meses,PEN,424000,2.119,0.029,0.0074,7,18322,360,1,28/02/2025,0.802813119,0.625629004,,,,0.05983436,0.605341406,0.771156563,0.379083646,0.915457672,0.058429915,0.641867465,0.402273576,C,B,H,G,C,O,A,J,W
DPPN-1723157,202501,0,PRIME,3 meses,PEN,244000,0.967,0.067,0.0074,7,19107,360,0,28/02/2025,0.463861452,,0.766643577,,,0.691119401,0.83084524,0.56574162,0.113677062,0.331952163,0.540091717,0.866096445,0.981285772,D,D,H,B,D,K,M,K,F
DPPN-3383612,202304,0,RETAIL,3 meses,PEN,379000,1.831,0.084,0.0011,7,19115,360,1,29/02/2024,0.256430638,0.138148811,,,,0.433509982,0.445975306,0.4389146,0.115582224,0.515139162,1.20E-05,0.397473806,0.842190203,A,C,B,L,D,G,S,K,C
DPPN-4195390,202401,0,RETAIL,3 meses,PEN,445000,2.2534,0.022,0.0011,7,19129,360,1,29/02/2024,0.660920266,0.98127912,0.003041205,,0.801499749,0.050208183,0.501467008,0.710148296,0.037420844,0.430739936,0.190485326,0.322468789,0.34426953,B,A,H,B,A,S,S,H,W
DPPN-1649359,202303,0,PRIME,3 meses,PEN,238000,0.9286,0.036,0.0074,7,20910,360,1,28/02/2025,0.950100611,0.65877154,,,,0.795198682,0.490034603,0.152673017,0.178427037,0.510137488,0.340208823,0.647583689,0.82816775,C,F,H,F,A,T,P,I,H
DPPN-2018349,202406,0,PRIME,3 meses,PEN,268000,1.1206,0.045,0.0074,7,21561,360,1,28/02/2025,0.27629061,0.151395337,0.240055657,0.9624136,,0.764050905,0.935835974,0.106780119,0.604614438,0.425349164,0.986331099,0.642885735,0.354848521,D,A,F,D,B,L,P,J,L
DPPN-210298,202311,0,RETAIL,3 meses,PEN,121000,0.1798,0.058,0.0011,7,21943,360,0,29/02/2024,0.666757336,0.589255413,0.770112851,0.638973212,,0.498461236,0.877220746,0.828687468,0.488168575,0.732131732,0.840381661,0.73001994,0.851781002,B,D,G,I,C,R,B,F,H
DPPN-911379,202411,0,PRIME,3 meses,PEN,178000,0.5446,0.082,0.0074,7,23616,360,0,28/02/2025,0.551533127,0.682059405,,0.911589333,,0.847497677,0.649551389,0.608302144,0.794684611,0.870862453,0.958385206,0.29941882,0.757857786,D,A,E,A,B,J,D,N,B
DPPN-3752602,202504,0,RETAIL,3 meses,PEN,409000,2.023,0.085,0.0011,7,23716,360,1,29/02/2024,0.518436424,0.621064527,0.670874459,,0.86891388,0.933106914,0.509502989,0.225303544,0.943939672,0.995615004,0.257465732,0.378264768,0.896387618,C,F,F,G,D,T,N,M,H
DPPN-3863299,202308,0,PRIME,3 meses,PEN,418000,2.0806,0.07,0.0074,7,23799,360,1,28/02/2025,0.438252843,0.653405129,0.198676902,0.007668243,,0.663122517,0.891330999,0.073021921,0.974308569,0.458401229,0.74407982,0.27098351,0.821866107,A,B,D,E,D,N,Q,O,M
DPPN-99601,202307,0,PRIME,3 meses,PEN,112000,0.1222,0.032,0.0074,7,26621,360,0,28/02/2025,0.687814697,,0.246540254,,,0.764542954,0.392969737,0.157809195,0.914339555,0.224521394,0.764162944,0.606394438,0.468047498,D,B,B,C,D,U,L,A,U
DPPN-3494309,202303,0,PRIME,3 meses,PEN,388000,1.8886,0.037,0.0074,7,26745,360,1,28/02/2025,0.425792127,,0.331425948,0.404420259,,0.796675806,0.061831303,0.906978694,0.462905867,0.000508087,0.36033675,0.573399267,0.021005295,A,C,E,C,E,D,G,E,E
DPPN-47995,202511,0,PRIME,3 meses,PEN,100000,0.0454,0.023,0.0074,7,27140,360,0,28/02/2025,0.363593665,0.353452524,,0.247316461,,0.167691269,0.682308293,0.721911731,0.220256761,0.407780464,0.555253567,0.678259471,0.845199742,A,D,B,D,A,U,Q,K,C
DPPN-1870753,202502,0,PRIME,3 meses,PEN,256000,1.0438,0.077,0.0074,7,27249,360,0,28/02/2025,0.800356961,0.567592114,0.479877486,0.113528308,,0.280980656,0.437826152,0.057803505,0.580718554,0.686151659,0.359259195,0.619649319,0.717596524,A,C,C,E,E,L,N,M,S
DPPN-3420511,202501,0,PRIME,3 meses,PEN,382000,1.8502,0.074,0.0074,7,27388,360,1,28/02/2025,0.418948012,0.967715229,,,,0.890874426,0.903384119,0.29826534,0.159149487,0.923705437,0.518028028,0.062703543,0.352401294,B,E,D,L,B,E,C,D,R
DPPN-1095874,202509,0,RETAIL,3 meses,PEN,193000,0.6406,0.06,0.0011,7,27452,360,1,29/02/2024,0.981893142,,,,,0.889098295,0.736246197,0.057879647,0.945178964,0.525136587,0.980374739,0.345616821,0.769205634,A,D,F,L,A,P,H,D,I
DPPN-2202844,202311,0,RETAIL,3 meses,PEN,283000,1.2166,0.024,0.0011,7,28860,360,1,29/02/2024,0.650894446,0.697296965,0.199529693,,,0.529498964,0.516973897,0.648591564,0.356475086,0.730286915,0.874686638,0.287639351,0.299829144,A,F,A,E,A,Q,R,I,G
DPPN-357894,202401,0,RETAIL,3 meses,PEN,133000,0.2566,0.036,0.0011,7,29346,360,1,29/02/2024,0.511114454,0.334939971,0.345002237,0.273615264,0.253022148,0.148951539,0.350620847,0.348261526,0.599944692,0.242965039,0.743332259,0.916562661,0.823415326,B,A,A,A,E,F,B,H,S
DPPN-1354167,202501,0,PRIME,3 meses,PEN,214000,0.775,0.078,0.0074,7,32853,360,1,28/02/2025,0.442752524,,0.468366674,,,0.580664955,0.91105624,0.122125407,0.116968621,0.844368132,0.665399441,0.892082412,0.583240407,B,E,E,F,B,D,H,J,M
DPPN-2055248,202308,0,RETAIL,3 meses,PEN,271000,1.1398,0.029,0.0011,7,33221,360,0,29/02/2024,0.058544839,,0.999837826,,,0.757356446,0.626705112,0.326593612,0.586170717,0.177571488,0.46687949,0.851832993,0.818871327,C,F,H,B,E,R,I,O,J
DPPN-3088420,202509,0,RETAIL,3 meses,PEN,355000,1.6774,0.059,0.0011,7,33511,360,1,29/02/2024,0.872023364,0.21639357,,,,0.9363229,0.937153759,0.739772687,0.360873892,0.935007105,0.036692983,0.503107671,0.208613243,C,B,B,F,C,T,L,B,B
DPPN-2830127,202402,0,PRIME,3 meses,PEN,334000,1.543,0.088,0.0074,7,35408,360,0,28/02/2025,0.927595049,0.886943819,0.951735146,,,0.970361003,0.008255753,0.006284151,0.917170739,0.515907664,0.736309031,0.888417923,0.481200146,B,F,E,J,D,Q,H,G,V
DPPN-2867026,202510,0,RETAIL,3 meses,PEN,337000,1.5622,0.025,0.0011,7,35445,360,1,29/02/2024,0.419800201,0.498594174,0.463820394,,,0.535556367,0.113894274,0.874638452,0.145161564,0.188926615,0.88637013,0.564136542,0.241484175,A,A,H,J,E,F,B,B,U
DPPN-3457410,202305,0,RETAIL,3 meses,PEN,385000,1.8694,0.089,0.0011,7,35871,360,0,29/02/2024,0.526178321,0.255719559,0.227347512,,,0.524746769,0.071843033,0.128591385,0.985309274,0.609851387,0.929812281,0.012198005,0.29806591,D,A,H,F,C,A,F,O,X
DPPN-2682531,202501,0,PRIME,3 meses,PEN,322000,1.4662,0.089,0.0074,7,36044,360,1,28/02/2025,0.750224023,,0.865032307,,0.849929836,0.478257192,0.224453594,0.318750205,0.087078569,0.820636966,0.980676706,0.308160343,0.203324898,C,E,H,J,B,G,A,K,G
DPPN-1760056,202306,0,RETAIL,3 meses,PEN,247000,0.9862,0.024,0.0011,7,36555,360,0,29/02/2024,0.850576307,0.054238945,0.92266598,0.998893628,,0.896981209,0.812811785,0.949680688,0.069698227,0.747222069,0.917242136,0.407525383,0.574312565,D,E,F,F,E,D,I,K,O
DPPN-284096,202301,0,RETAIL,3 meses,PEN,127000,0.2182,0.061,0.0011,7,36793,360,1,29/02/2024,0.324645405,0.118200437,0.808236542,,,0.228599028,0.335507264,0.853483446,0.887854482,0.865677283,0.332730711,0.099098825,0.186930769,C,E,D,L,B,R,B,I,A
DPPN-468591,202508,0,PRIME,3 meses,PEN,142000,0.3142,0.078,0.0074,7,37371,360,0,28/02/2025,0.641881873,,0.166961467,,,0.544491303,0.726012814,0.706493606,0.720563783,0.834109798,0.553023877,0.626655063,0.956223453,B,F,G,H,C,J,O,K,O
DPPN-431692,202509,0,RETAIL,3 meses,PEN,139000,0.295,0.048,0.0011,7,38426,360,0,29/02/2024,0.153078545,0.120227455,,,,0.14683479,0.28484523,0.876763939,0.809020091,0.447280702,0.339741911,0.135804633,0.290484506,D,C,G,J,C,N,B,O,X
DPPN-2903925,202312,0,PRIME,3 meses,PEN,340000,1.5814,0.08,0.0074,7,39640,360,0,28/02/2025,0.982683027,0.765006046,0.984505216,0.63198016,,0.127833139,0.032778014,0.106037208,0.459721566,0.807350971,0.773084235,0.025353125,0.26828909,D,F,G,H,D,S,J,E,A
DPPN-3641905,202503,0,PRIME,3 meses,PEN,400000,1.9654,0.077,0.0074,7,39961,360,1,28/02/2025,0.545611794,0.070925038,,,,0.575197376,0.935719625,0.539793131,0.784466732,0.052345227,0.868514145,0.392339314,0.894879644,B,F,A,F,B,I,G,A,Z
DPPN-3973996,202312,0,RETAIL,3 meses,PEN,427000,2.1382,0.024,0.0011,7,41365,360,1,29/02/2024,0.891780777,0.121580838,0.789124185,,,0.490203005,0.848647293,0.581611587,0.723094655,0.205120235,0.226947776,0.233616784,0.262729452,D,D,F,H,E,P,M,D,G
DPPN-1391066,202309,0,RETAIL,3 meses,PEN,217000,0.7942,0.066,0.0011,7,41587,360,0,29/02/2024,0.178546809,0.478317283,,0.160129277,,0.623732314,0.96564067,0.401730048,0.486275518,0.438578084,0.952835239,0.842351672,0.239177928,A,F,F,E,A,I,F,K,L
DPPN-1206571,202405,0,PRIME,3 meses,PEN,202000,0.6982,0.079,0.0074,7,41941,360,0,28/02/2025,0.368653104,0.595996648,,,,0.456482393,0.007833335,0.868893213,0.513281733,0.804338305,0.804551893,0.16709248,0.49499836,A,D,C,G,C,E,C,N,N
DPPN-320995,202510,0,PRIME,3 meses,PEN,130000,0.2374,0.076,0.0074,7,42137,360,0,28/02/2025,0.725498598,0.974253433,0.307502675,0.96158505,0.670945596,0.862293637,0.138784139,0.311522765,0.755241858,0.649719224,0.288653241,0.195007277,0.377702522,C,C,B,H,B,B,M,J,Q
DPPN-2940824,202501,0,RETAIL,3 meses,PEN,343000,1.6006,0.077,0.0011,7,43017,360,0,29/02/2024,0.058673121,0.990260855,0.673874648,,0.541653149,0.32040078,0.8033593,0.772030735,0.431839977,0.218851557,0.016276999,0.847547704,0.294325261,B,D,A,E,A,K,G,O,P
DPPN-1427965,202412,0,PRIME,3 meses,PEN,220000,0.8134,0.086,0.0074,7,45641,360,1,28/02/2025,0.132324193,0.651569637,0.617199975,0.830703209,,0.239278745,0.505696879,0.858512878,0.924988948,0.442003689,0.84435838,0.751394543,0.131748323,C,A,H,E,E,J,M,I,S
DPPN-4564380,202311,0,RETAIL,3 meses,PEN,475000,2.4454,0.038,0.0011,7,45689,360,0,29/02/2024,0.655963451,0.831886455,,,,0.894390969,0.592851645,0.779487938,0.146054254,0.455244259,0.604438427,0.602944221,0.439033551,B,E,G,H,A,H,S,O,V
DPPN-4232289,202502,0,PRIME,3 meses,PEN,448000,2.2726,0.034,0.0074,7,45989,360,0,28/02/2025,0.859260215,0.6817758,0.776864605,,,0.952334424,0.955652851,0.84076632,0.053467504,0.3981109,0.406591245,0.50135977,0.800630849,B,C,C,E,D,A,O,H,O
DPPN-2719430,202311,0,RETAIL,3 meses,PEN,325000,1.4854,0.043,0.0011,7,46071,360,1,29/02/2024,0.947529907,0.825862515,0.172892476,0.565077119,,0.755547691,0.351111774,0.041421121,0.892237043,0.64993498,0.945950356,0.882065838,0.284657032,C,F,D,J,A,P,N,N,Q
DPPN-800682,202311,0,RETAIL,3 meses,PEN,169000,0.487,0.055,0.0011,7,47124,360,0,29/02/2024,0.032537292,,,0.05704537,,0.579160886,0.715614782,0.047842672,0.794970994,0.790693509,0.828675708,0.181182944,0.748645297,A,B,A,C,B,C,B,K,Q
DPPN-1243470,202503,0,RETAIL,3 meses,PEN,205000,0.7174,0.059,0.0011,7,47380,360,1,29/02/2024,0.96072875,,0.280998985,0.421086827,,0.706955621,0.630204365,0.344589576,0.786574626,0.93368577,0.824887189,0.276975899,0.193033443,D,F,F,E,D,R,J,E,U
DPPN-4601279,202310,0,PRIME,3 meses,PEN,478000,2.4646,0.055,0.0074,7,47562,360,0,28/02/2025,0.834610977,0.544473604,,,0.112598077,0.854491797,0.063299446,0.802714748,0.374061873,0.732598149,0.697373827,0.503989736,0.243498613,D,A,H,F,E,U,R,G,U
DPPN-2756329,202406,0,PRIME,3 meses,PEN,328000,1.5046,0.05,0.0074,7,48660,360,0,28/02/2025,0.55878793,0.004266236,,0.504763478,0.462652263,0.886859441,0.469057104,0.823860076,0.238451049,0.03191706,0.481340356,0.288364569,0.814287528,A,A,H,J,B,S,B,N,Z
DPPN-4121592,202312,0,RETAIL,3 meses,PEN,439000,2.215,0.031,0.0011,7,49988,360,1,29/02/2024,0.39108264,,0.915514965,0.012630743,,0.252179534,0.792133787,0.85355787,0.945129309,0.382989543,0.722798851,0.070118413,0.507320986,C,F,C,J,D,T,I,E,X
DPPN-247197,202411,0,PRIME,3 meses,PEN,124000,0.199,0.074,0.0074,7,50319,360,0,28/02/2025,0.308741381,0.628047489,0.271248783,0.774280236,,0.011076379,0.608525291,0.11729928,0.32855954,0.12925795,0.467329604,0.664531501,0.702067493,A,D,H,E,E,Q,K,F,E
DPPN-2239743,202305,0,PRIME,3 meses,PEN,286000,1.2358,0.066,0.0074,7,51508,360,0,28/02/2025,0.598807585,0.417562036,,0.099174827,,0.852216376,0.329778683,0.588204907,0.650986263,0.149112737,0.924451538,0.13680407,0.526191895,C,C,H,G,C,N,C,J,V
DPPN-2498036,202412,0,RETAIL,3 meses,PEN,307000,1.3702,0.055,0.0011,7,51971,360,1,29/02/2024,0.745919509,0.472920958,0.712824736,,,0.01088295,0.403081727,0.036153987,0.089562079,0.913293116,0.670296709,0.972789696,0.537021426,B,B,H,B,A,M,D,N,C
DPPN-1575561,202302,0,PRIME,3 meses,PEN,232000,0.8902,0.039,0.0074,7,52095,360,1,28/02/2025,0.723250445,0.538526722,,0.693258011,,0.264416867,0.961937383,0.185467908,0.986477734,0.559771782,0.018974684,0.749594978,0.069678163,D,D,D,A,C,S,H,N,R
DPPN-1686258,202406,0,RETAIL,3 meses,PEN,241000,0.9478,0.028,0.0011,7,53913,360,0,29/02/2024,0.74601522,0.363172489,,,,0.216964416,0.217184628,0.419858736,0.982337152,0.628285546,0.352327082,0.529014583,0.967660397,C,F,G,K,C,G,E,L,O
DPPN-4306087,202507,0,PRIME,3 meses,PEN,454000,2.311,0.079,0.0074,7,55049,360,1,28/02/2025,0.487364901,0.018282621,,,,0.068450477,0.572009287,0.558275208,0.398982933,0.871515437,0.411391879,0.433090501,0.713841392,D,A,D,D,A,J,H,A,H
DPPN-4675077,202301,0,PRIME,3 meses,PEN,484000,2.503,0.025,0.0074,7,55067,360,1,28/02/2025,0.921205286,0.156776539,0.405867835,,,0.642073573,0.33785206,0.980068846,0.673045935,0.389961296,0.816374767,0.554234053,0.404941451,B,D,A,F,B,N,I,E,H
